Electoral district number,Electoral district name,Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
48027,Medicine Hat--Cardston--Warner,68.7,11.2,14.9,0,4.4,0.8
48028,Peace River--Westlock,77.8,3.6,13,0,3.9,1.7
48029,Red Deer--Mountain View,79.4,3.5,11.9,0,5,0.1
48030,Red Deer--Lacombe,77.4,3.6,14.3,0,4.7,0
48031,St. Albert--Edmonton,64.5,10.8,20.1,0,4.6,0
48032,Sherwood Park--Fort Saskatchewan,49.5,6.5,11.2,0,4.1,28.8
48033,Sturgeon River--Parkland,77.5,5.5,13,0,4,0.1
48034,Yellowhead,78.1,2.9,12.9,0,5.3,0.8
59001,Abbotsford,66.9,8.7,19.2,0,4.7,0.5
59002,Burnaby North--Seymour,44.2,15.7,35.2,0,3.9,1
59003,Burnaby South,39.6,11.7,44,0,3.6,1.1
59004,Cariboo--Prince George,56.3,5.1,30.1,0,6.2,2.4
59005,Central Okanagan--Similkameen--Nicola,54.6,10.1,26,0,7.8,0
59006,Chilliwack--Hope,59.6,11.2,23.5,0,5,0.7
59007,Cloverdale--Langley City,57.4,11.8,24.7,0,4.6,0
59008,Coquitlam--Port Coquitlam,55.5,8.3,31,0,4.3,0.9
59009,Courtenay--Alberni,44.9,6.7,40.7,0,6.8,0.8
59010,Cowichan--Malahat--Langford,43.1,5.8,43.6,0,7.2,0.3
59011,Delta,48,18.6,28.1,0,4.7,0
59012,Fleetwood--Port Kells,47.8,15.7,33.1,0,2.6,0
59013,Kamloops--Thompson--Cariboo,52.3,5.4,36.9,0,5.1,0
59014,Kelowna--Lake Country,58.4,11.5,21.4,0,0,0
59015,Kootenay--Columbia,50.1,3.5,38.8,0,6.4,0
59016,Langley--Aldergrove,65.8,9,19.3,0,5.3,0.6
59017,Mission--Matsqui--Fraser Canyon,54.5,8.4,32,0,4.6,0.5
59018,Nanaimo--Ladysmith,40.4,6.7,45.3,0,7.2,0.5
59019,New Westminster--Burnaby,34.8,8.7,51.8,0,4.3,0.4
59020,North Okanagan--Shuswap,55.4,7.5,26.5,0,10.7,0
59021,North Vancouver,47.6,29.7,16.9,0,5.2,0.6
59022,Pitt Meadows--Maple Ridge,54.8,5.4,34.9,0,4.9,0
59023,Port Moody--Coquitlam,46.5,8.5,40.5,0,4.3,0.3
59024,Prince George--Peace River--Northern Rockies,61.9,5.2,25.9,0,6.1,1.1
59025,Richmond Centre,58.1,18.7,18.2,0,5,0
59026,Esquimalt--Saanich--Sooke,37.6,9.7,39.4,0,12.9,0.4
59027,Saanich--Gulf Islands,36.5,6.1,11,0,46.4,0
59028,Skeena--Bulkley Valley,34.6,3.6,55.2,0,3.2,3.4
59029,South Okanagan--West Kootenay,44.8,7.1,39.4,0,8.1,0.6
59030,South Surrey--White Rock,52.9,19.1,19.2,0,5.9,3
59031,Steveston--Richmond East,53.9,18.6,22.8,0,4.1,0.5
59032,Surrey Centre,35.7,17.8,40,0,3.6,2.9
59033,Surrey--Newton,27.4,34.1,35.3,0,2.6,0
59034,Vancouver Centre,26.1,31,26.3,0,15.1,1.5
59035,Vancouver East,18.9,9.9,62.8,0,7.6,0.7
59036,Vancouver Granville,35.4,30.1,24.5,0,9.2,0
59037,North Island--Powell River,46,6.4,41.7,0,5.2,0
59038,Vancouver Kingsway,27.8,16.2,51.3,0,3.5,1.2
59039,Vancouver Quadra,36.4,43.5,14.4,0,5.6,0
59040,Vancouver South,42.4,33.8,21.1,0,2.2,0.6
59041,Victoria,23.6,14,50.8,0,11.6,0
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,45.8,23.8,21.5,0,7.6,1.3
60001,Yukon,33.8,32.9,14.4,0,18.9,0
61001,Northwest Territories,32.1,18.4,45.8,0,3.1,0
62001,Nunavut,49.9,28.7,19.4,0,2,0
