Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
24029,Honore-Mercier,Croteau,Guy,Conservative,12.1
24029,Honore-Mercier,Dejean,Dayana,Forces et Democratie - Allier les forces de nos regions,0.3
24029,Honore-Mercier,Le Seigle,Yves,Marxist-Leninist,0.2
24029,Honore-Mercier,Rodriguez,Pablo,Liberal,56.5
24030,Hull--Aylmer,Boulrice,etienne,Conservative,7.7
24030,Hull--Aylmer,Chouinard-Boucher,Maude,Bloc Quebecois,6.5
24030,Hull--Aylmer,Desjardins,Luc,Independent,0.3
24030,Hull--Aylmer,Fergus,Greg,Liberal,51.4
24030,Hull--Aylmer,Fleury,Roger,Green Party,1.9
24030,Hull--Aylmer,Girard-Bernier,Gabriel,Marxist-Leninist,0.2
24030,Hull--Aylmer,Mulligan,Sean J.,Christian Heritage Party,0.5
24030,Hull--Aylmer,Turmel,Nycole,NDP-New Democratic Party,31.5
24031,Joliette,Bourgeois,Michel,Liberal,28.2
24031,Joliette,Eid,Soheil,Conservative,10.1
24031,Joliette,Landreville,Danielle,NDP-New Democratic Party,25.7
24031,Joliette,Morais,Robert D.,Forces et Democratie - Allier les forces de nos regions,0.4
24031,Joliette,Morin,Mathieu,Green Party,2.4
24031,Joliette,Ste-Marie,Gabriel,Bloc Quebecois,33.3
24032,Jonquiere,Budilean,Carmen,Green Party,1.4
24032,Jonquiere,Caron,Jean-Francois,Bloc Quebecois,23.3
24032,Jonquiere,Couture,Marielle,Rhinoceros,0.8
24032,Jonquiere,Larouche,Ursula,Conservative,16.9
24032,Jonquiere,Pettersen,Marc,Liberal,28.5
24032,Jonquiere,Trudel,Karine,NDP-New Democratic Party,29.2
24033,La Pointe-de-l'ile,Beaulieu,Mario,Bloc Quebecois,33.6
24033,La Pointe-de-l'ile,Benoit,Ben 97,Rhinoceros,0.6
24033,La Pointe-de-l'ile,Cox,David J.,Green Party,2
24033,La Pointe-de-l'ile,Larose,Jean-Francois,Forces et Democratie - Allier les forces de nos regions,0.2
24033,La Pointe-de-l'ile,Morissette,Guy,Conservative,8
24033,La Pointe-de-l'ile,Peclet,eve,NDP-New Democratic Party,26.8
24033,La Pointe-de-l'ile,Royer,Genevieve,Marxist-Leninist,0.2
24033,La Pointe-de-l'ile,Simard,Marie-Chantale,Liberal,28.6
24034,La Prairie,Chicoine,Pierre,NDP-New Democratic Party,22.9
24034,La Prairie,Chouinard,Normand,Marxist-Leninist,0.4
24034,La Prairie,Perras,Yves,Conservative,11.9
24034,La Prairie,Picard,Christian,Bloc Quebecois,26.2
24034,La Prairie,Poissant,Jean-Claude,Liberal,36.5
24034,La Prairie,Tomas,Joanne,Green Party,2.1
24035,Lac-Saint-Jean,Dallaire,Gisele,NDP-New Democratic Party,28.5
24035,Lac-Saint-Jean,Gaudreault,Sabin,Bloc Quebecois,18.4
24035,Lac-Saint-Jean,Lebel,Denis,Conservative,33.3
24035,Lac-Saint-Jean,Requile,Laurence,Green Party,1.5
24035,Lac-Saint-Jean,Simard,Sabin,Liberal,18.4
24036,Lac-Saint-Louis,Bernier,Gabriel,Bloc Quebecois,2.7
24036,Lac-Saint-Louis,Dean,Bradford,Green Party,2.9
24036,Lac-Saint-Louis,Girard,Eric,Conservative,17.4
24036,Lac-Saint-Louis,Scarpaleggia,Francis,Liberal,64.1
24036,Lac-Saint-Louis,Young,Ryan,NDP-New Democratic Party,12.8
24037,LaSalle--emard--Verdun,Banville,Lorraine,Green Party,3.2
24037,LaSalle--emard--Verdun,Lametti,David,Liberal,43.9
24037,LaSalle--emard--Verdun,LeBlanc,Helene,NDP-New Democratic Party,29
24037,LaSalle--emard--Verdun,Paquette,Gilbert,Bloc Quebecois,17
24037,LaSalle--emard--Verdun,Zamir,Mohammad,Conservative,6.9
24038,Laurentides--Labelle,Charron,Sylvain,Conservative,9.8
24038,Laurentides--Labelle,Graham,David,Liberal,32.1
24038,Laurentides--Labelle,Hedjazi,Niloufar,Green Party,2
24038,Laurentides--Labelle,Landry,Simon-Pierre,NDP-New Democratic Party,26.3
24038,Laurentides--Labelle,Regimbald,Johanne,Bloc Quebecois,29.7
24039,Laurier--Sainte-Marie,Beaulieu,Stephane,Libertarian,1.1
24039,Laurier--Sainte-Marie,Bernatchez,Julien,Independent,0.3
24039,Laurier--Sainte-Marie,Duceppe,Gilles,Bloc Quebecois,28.7
24039,Laurier--Sainte-Marie,Fontaine,Pierre,Communist,0.2
24039,Laurier--Sainte-Marie,Gaudreau,Daniel,Conservative,4.1
24039,Laurier--Sainte-Marie,Giraud,Cyrille,Green Party,3.5
24039,Laurier--Sainte-Marie,Lachapelle,Serge,Marxist-Leninist,0.2
