Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015),Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
35011,Brampton South,35,52.1,10.7,0.0,2.2,0.0,45.4,35.4,16.4,0.0,2.3,0.0
35012,Brampton West,30.1,55.9,12.4,0.0,1.6,0.0,42,36.1,19.6,0.0,1.6,0.0
35013,Brantford--Brant,40.9,30.7,24.8,0.0,2.5,1.1,48.4,18.9,28.9,0.0,3.2,0.5
35014,Bruce--Grey--Owen Sound,46.7,38.8,11.1,0.0,3.3,0.0,56.3,16.1,17.6,0.0,10.0,0.0
35015,Burlington,42.5,46,9.1,0.0,2.4,0.0,54.1,23.2,18.9,0.0,3.5,0.0
35016,Cambridge,38.6,43.2,13.9,0.0,3.2,1.1,52.7,15.4,27.9,0.0,3.6,0.3
35017,Chatham-Kent--Leamington,41.7,37.2,18.4,0.0,2.7,0.0,53.2,16.3,27.2,0.0,3.3,0.0
35018,Davenport,10.6,44.3,41.4,0.0,3.1,0.7,14.2,27.9,53.7,0.0,3.4,0.8
35019,Don Valley East,29.2,57.8,10.4,0.0,2.6,0.0,36.4,38.4,21.9,0.0,2.8,0.0
35020,Don Valley North,37.8,51.4,8.5,0.0,2.2,0.0,40.3,37.3,20.7,0.0,1.3,0.0
35021,Don Valley West,37.6,53.8,6,0.0,1.7,0.9,43.9,41.5,10.7,0.0,3.6,0.3
35022,Dufferin--Caledon,46.3,39.1,7.3,0.0,7.3,0.0,59,13.1,13.2,0.0,14.7,0.0
35023,Durham,45.1,35.8,16,0.0,2.5,0.6,55.2,15.5,23.7,0.0,4.6,1.0
35024,Eglinton--Lawrence,42.6,48.9,6.3,0.0,1.4,0.8,46.8,38.4,11.6,0.0,3.2,0.0
35025,Elgin--Middlesex--London,49.2,31,15.4,0.0,3.1,1.2,58.1,13.4,24.1,0.0,3.0,1.4
35026,Essex,35.7,20.9,41.4,0.0,1.9,0.1,48.3,14.3,34.9,0.0,2.4,0.1
35027,Etobicoke Centre,37.3,52.8,7.9,0.0,1.4,0.6,41.9,40.6,14.6,0.0,2.7,0.3
35028,Etobicoke--Lakeshore,32.4,53.7,10.9,0.0,2.3,0.7,40.2,35.1,20.3,0.0,4.0,0.4
35029,Etobicoke North,23,62.4,12.4,0.0,1.2,1,32,42.6,23.6,0.0,0.2,1.7
35030,Flamborough--Glanbrook,43.5,39.1,14,0.0,3.4,0.0,55.4,16.9,22.8,0.0,4.2,0.0
35031,Glengarry--Prescott--Russell,36.4,53.3,7.9,0.0,1.8,0.6,48.8,30.6,16.7,0.0,3.6,0.3
35032,Guelph,26.3,49.1,12,0.0,11.3,1.2,32.8,43.4,16.7,0.0,6.1,1.0
