Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
24052,Mount Royal,Liberal,50.3,41.4
24052,Mount Royal,Green Party,1.6,1.8
24052,Mount Royal,Conservative,37.9,35.6
24052,Mount Royal,NDP-New Democratic Party,8.1,17.9
24052,Mount Royal,Other,0.3,0.5
24053,Notre-Dame-de-Grace--Westmount,Liberal,57.7,38.2
24053,Notre-Dame-de-Grace--Westmount,NDP-New Democratic Party,21.8,35.1
24053,Notre-Dame-de-Grace--Westmount,Bloc Quebecois,2.5,4.1
24053,Notre-Dame-de-Grace--Westmount,Conservative,14.4,17.7
24053,Notre-Dame-de-Grace--Westmount,Green Party,3.1,4.4
24053,Notre-Dame-de-Grace--Westmount,Other,0.7,0.6
24054,Outremont,Liberal,33.5,21.6
24054,Outremont,Green Party,3.6,2.2
24054,Outremont,Bloc Quebecois,8.4,11.6
24054,Outremont,Conservative,9.5,8
24054,Outremont,NDP-New Democratic Party,44.1,55.7
24054,Outremont,Other,0.9,0.9
24055,Papineau,Bloc Quebecois,12.2,24.9
24055,Papineau,NDP-New Democratic Party,25.9,29.5
24055,Papineau,Green Party,2.8,1.9
24055,Papineau,Liberal,52,37.9
24055,Papineau,Conservative,4.7,5
24055,Papineau,Other,2.4,0.8
24056,Pierrefonds--Dollard,Conservative,20,26.9
24056,Pierrefonds--Dollard,Liberal,58.7,30.5
24056,Pierrefonds--Dollard,NDP-New Democratic Party,16.4,34.1
24056,Pierrefonds--Dollard,Bloc Quebecois,3.5,5.0
24056,Pierrefonds--Dollard,Green Party,1.5,3.6
24057,Pontiac,Liberal,54.5,15.2
24057,Pontiac,Green Party,1.7,1.6
24057,Pontiac,Bloc Quebecois,6.9,9.5
24057,Pontiac,NDP-New Democratic Party,22.5,47.3
24057,Pontiac,Conservative,13.9,26.2
24057,Pontiac,Other,0.4,0.2
24058,Portneuf--Jacques-Cartier,Liberal,21.5,6.6
24058,Portneuf--Jacques-Cartier,Conservative,44,0
24058,Portneuf--Jacques-Cartier,Bloc Quebecois,10.7,20.5
24058,Portneuf--Jacques-Cartier,NDP-New Democratic Party,22.1,42.7
24058,Portneuf--Jacques-Cartier,Green Party,1.8,2.4
24059,Quebec,Conservative,21.8,17.8
24059,Quebec,Liberal,28.9,9.0
24059,Quebec,Bloc Quebecois,18.8,28.0
24059,Quebec,NDP-New Democratic Party,27,42.6
24059,Quebec,Green Party,2.9,2.2
24059,Quebec,Other,0.5,0.4
