"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Ontario",35019,"Don Valley East",35016,"Don Valley East"
"Ontario",35019,"Don Valley East",35017,"Don Valley West"
"Ontario",35020,"Don Valley North",35016,"Don Valley East"
"Ontario",35020,"Don Valley North",35045,"Markham - Unionville"
"Ontario",35020,"Don Valley North",35100,"Willowdale"
"Ontario",35021,"Don Valley West",35017,"Don Valley West"
"Ontario",35021,"Don Valley West",35077,"St. Paul's"
"Ontario",35022,"Dufferin--Caledon",35018,"Dufferin - Caledon"
"Ontario",35023,"Durham",35014,"Durham"
"Ontario",35023,"Durham",35061,"Oshawa"
"Ontario",35023,"Durham",35099,"Whitby - Oshawa"
"Ontario",35024,"Eglinton--Lawrence",35019,"Eglinton - Lawrence"
"Ontario",35025,"Elgin--Middlesex--London",35020,"Elgin - Middlesex - London"
"Ontario",35026,"Essex",35021,"Essex"
"Ontario",35027,"Etobicoke Centre",35022,"Etobicoke Centre"
"Ontario",35027,"Etobicoke Centre",35023,"Etobicoke - Lakeshore"
"Ontario",35028,"Etobicoke--Lakeshore",35023,"Etobicoke - Lakeshore"
"Ontario",35029,"Etobicoke North",35022,"Etobicoke Centre"
"Ontario",35029,"Etobicoke North",35024,"Etobicoke North"
"Ontario",35030,"Flamborough--Glanbrook",35003,"Ancaster - Dundas - Flamborough - Westdale"
"Ontario",35030,"Flamborough--Glanbrook",35033,"Hamilton Mountain"
"Ontario",35030,"Flamborough--Glanbrook",35055,"Niagara West - Glanbrook"
"Ontario",35031,"Glengarry--Prescott--Russell",35025,"Glengarry - Prescott - Russell"
"Ontario",35032,"Guelph",35027,"Guelph"
"Ontario",35033,"Haldimand--Norfolk",35028,"Haldimand - Norfolk"
"Ontario",35034,"Haliburton--Kawartha Lakes--Brock",35029,"Haliburton - Kawartha Lakes - Brock"
"Ontario",35035,"Hamilton Centre",35031,"Hamilton Centre"
"Ontario",35035,"Hamilton Centre",35032,"Hamilton East - Stoney Creek"
