Geo_Code,FED_Name,NoDiplomaPct,HighSchoolDiplomaOrEquivalentPct,PostsecondaryCertificateDiplomaOrDegreePct,ApprenticeshipOrTradesCertificateOrDiplomaPct,CollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,UniversityCertificateOrDiplomaBelowBachelorLevelPct,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,BachelorDegreePct,UniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,MaleNoDiplomaPct,MaleHighSchoolDiplomaOrEquivalentPct,MalePostsecondaryCertificateDiplomaOrDegreePct,MaleApprenticeshipOrTradesCertificateOrDiplomaPct,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,MaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,MaleBachelorDegreePct,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,FemaleNoDiplomaPct,FemaleHighSchoolDiplomaOrEquivalentPct,FemalePostsecondaryCertificateDiplomaOrDegreePct,FemaleApprenticeshipOrTradesCertificateOrDiplomaPct,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,FemaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,FemaleBachelorDegreePct,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct
35075,Ottawa Centre,10.651,18.412,70.937,3.462,13.418,2.985,51.072,27.314,23.758,10.287,18.801,70.911,4.359,13.193,2.991,50.379,26.076,24.292,10.985,18.033,70.961,2.625,13.631,2.979,51.737,28.483,23.243
35076,Orleans,11.767,25.275,62.954,5.463,21.683,4.836,30.977,19.708,11.269,12.158,24.995,62.847,7.107,19.912,4.34,31.488,18.932,12.567,11.404,25.537,63.058,3.938,23.328,5.307,30.495,20.43,10.065
35077,Ottawa South,15.037,24.535,60.428,5.22,17.652,4.337,33.219,19.18,14.034,14.745,23.894,61.35,5.995,16.485,4.035,34.835,18.591,16.233,15.293,25.117,59.59,4.507,18.714,4.621,31.739,19.714,12.034
35078,Ottawa--Vanier,16.312,24.083,59.605,5.553,16.211,3.743,34.092,18.963,15.129,16.81,23.269,59.91,6.505,15.633,3.394,34.378,17.998,16.369,15.863,24.812,59.315,4.708,16.728,4.057,33.832,19.819,14.013
35079,Ottawa West--Nepean,14.127,24.753,61.125,5.549,19.242,4.246,32.082,18.7,13.387,13.886,24.581,61.544,6.779,17.768,3.814,33.171,18.187,14.984,14.334,24.908,60.748,4.432,20.568,4.635,31.102,19.152,11.95
35080,Oxford,24.895,29.588,45.511,9.563,23.142,2.212,10.6,7.156,3.449,26.23,29.135,44.635,13.436,20.084,2.018,9.109,5.878,3.219,23.606,30.037,46.357,5.811,26.095,2.41,12.051,8.379,3.66
35081,Parkdale--High Park,13.312,20.284,66.404,4.707,15.45,4.351,41.901,24.543,17.364,13.361,20.724,65.902,6.023,15.075,4.273,40.531,22.788,17.743,13.265,19.882,66.853,3.5,15.789,4.422,43.142,26.136,17.018
35082,Parry Sound--Muskoka,22.273,28.456,49.258,11.137,21.587,2.987,13.542,8.437,5.098,23.562,26.597,49.867,16.843,18.195,2.968,11.861,7.355,4.492,21.034,30.268,48.685,5.584,24.89,3.018,15.192,9.505,5.7
35083,Perth--Wellington,28.507,29.65,41.843,9.47,19.345,2.015,11.007,7.431,3.576,30.589,28.49,40.921,13.492,16.023,2.148,9.27,5.839,3.432,26.508,30.769,42.723,5.603,22.555,1.887,12.678,8.974,3.716
35084,Peterborough--Kawartha,19.505,28.307,52.188,9.467,22.92,2.657,17.143,10.033,7.116,19.639,29.231,51.141,13.448,19.237,2.227,16.218,8.962,7.245,19.394,27.465,53.141,5.815,26.292,3.042,17.992,11.004,6.988
35085,Pickering--Uxbridge,14.838,29.905,55.257,6.895,22.363,4.658,21.342,14.302,7.04,15.321,29.197,55.482,9.832,20.67,4.841,20.139,13.021,7.106,14.387,30.565,55.058,4.152,23.932,4.497,22.465,15.498,6.967
35086,Renfrew--Nipissing--Pembroke,21.554,31.123,47.317,10.189,22.599,2.149,12.374,8.148,4.232,23.366,31.54,45.094,14.783,17.287,1.842,11.171,7.042,4.129,19.761,30.713,49.515,5.671,27.824,2.451,13.557,9.235,4.333
35087,Richmond Hill,13.895,22.179,63.931,4.966,14.817,6.148,37.989,23.291,14.703,13.086,20.883,66.031,6.503,12.916,5.754,40.847,23.63,17.217,14.636,23.365,62.01,3.55,16.556,6.519,35.375,22.971,12.414
35088,Carleton,12.008,24.912,63.073,5.939,22.61,3.544,30.981,19.231,11.75,12.924,23.876,63.185,7.978,21.758,3.293,30.142,17.871,12.286,11.113,25.944,62.972,3.946,23.446,3.789,31.791,20.565,11.212
35089,St. Catharines,20.728,30.037,49.235,8.899,21.208,3.054,16.08,9.863,6.216,20.85,29.093,50.046,12.434,18.806,2.718,16.088,9.854,6.223,20.598,30.886,48.506,5.731,23.351,3.345,16.08,9.871,6.2
35090,Toronto--St. Paul's,10.31,17.517,72.179,3.944,13.752,5.038,49.45,28.714,20.742,10.779,17.829,71.379,5.272,12.36,4.075,49.673,27.892,21.78,9.923,17.25,72.827,2.839,14.909,5.811,49.267,29.381,19.886
35091,Sarnia--Lambton,17.868,31.803,50.33,11.406,23.846,2.353,12.73,8.292,4.444,17.844,28.93,53.214,17.55,21.269,2.065,12.353,7.661,4.693,17.879,34.502,47.619,5.622,26.279,2.623,13.084,8.884,4.2
35092,Sault Ste. Marie,20.312,28.258,51.43,10.218,23.07,3.019,15.116,10.414,4.702,20.136,26.541,53.323,15.317,21.178,2.734,14.063,8.943,5.121,20.486,29.842,49.672,5.488,24.815,3.282,16.073,11.758,4.315
35093,Scarborough--Agincourt,20.673,27.718,51.615,4.612,15.022,6.701,25.279,16.744,8.536,19.613,26.94,53.459,5.378,14.222,6.136,27.71,17.651,10.047,21.621,28.395,49.995,3.935,15.74,7.189,23.131,15.931,7.2
35094,Scarborough Centre,21.32,30.166,48.52,6.762,16.461,5.994,19.292,12.744,6.553,20.611,30.144,49.246,9.269,14.85,5.677,19.449,12.251,7.198,21.95,30.194,47.867,4.523,17.909,6.265,19.16,13.183,5.977
35095,Scarborough--Guildwood,19.737,29.146,51.123,6.242,17.602,5.358,21.916,13.619,8.304,18.519,28.891,52.603,8.12,15.411,5.491,23.556,13.585,9.984,20.824,29.375,49.79,4.55,19.564,5.25,20.439,13.649,6.778
35096,Scarborough North,22.754,28.207,49.039,4.951,14.253,6.441,23.4,16.372,7.028,21.291,27.574,51.122,6.644,13.214,5.996,25.268,17.502,7.779,24.107,28.795,47.097,3.386,15.204,6.842,21.677,15.331,6.335
35097,Scarborough--Rouge Park,15.795,28.003,56.202,6.855,19.538,6.736,23.078,15.029,8.055,15.466,27.575,56.972,9.013,18.075,6.728,23.156,14.929,8.239,16.104,28.4,55.496,4.884,20.864,6.743,23.005,15.118,7.888
35098,Scarborough Southwest,19.585,28.624,51.786,6.343,17.527,5.061,22.861,14.442,8.418,19.214,28.736,52.05,8.697,15.611,4.694,23.047,13.683,9.377,19.916,28.535,51.549,4.176,19.282,5.398,22.692,15.139,7.542
35099,Simcoe--Grey,19.531,30.333,50.137,10.172,21.951,3.198,14.82,9.705,5.11,20.764,29.151,50.086,14.816,18.678,2.867,13.725,8.954,4.771,18.35,31.47,50.17,5.694,25.095,3.517,15.864,10.418,5.446
35100,Simcoe North,21.868,28.893,49.244,11.764,22.831,2.22,12.423,7.767,4.656,23.128,27.101,49.771,16.384,19.831,2.13,11.438,6.755,4.683,20.699,30.561,48.751,7.45,25.64,2.315,13.345,8.725,4.631
35101,Spadina--Fort York,9.193,15.825,74.975,2.983,13.284,4.521,54.181,35.181,19,8.718,16.587,74.695,3.729,12.964,4.061,53.941,35.284,18.67,9.664,15.087,75.249,2.258,13.603,4.963,54.425,35.097,19.341
