Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver
59015,Kootenay--Columbia,46445,1240,5575,7000,10100,10640,6720,5175
59016,Langley--Aldergrove,36625,655,3800,7110,9205,7765,4545,3545
59017,Mission--Matsqui--Fraser Canyon,31170,650,3860,5825,7620,6380,4010,2830
59018,Nanaimo--Ladysmith,49435,1590,5360,7095,10565,10875,7550,6415
59019,New Westminster--Burnaby,45725,1770,7260,9055,10695,8410,4465,4075
59020,North Okanagan--Shuswap,51175,1160,4645,6690,11045,11355,8885,7395
59021,North Vancouver,45160,935,5205,8560,10960,8910,5440,5155
59022,Pitt Meadows--Maple Ridge,34835,710,4255,7085,9310,6570,3815,3085
59023,Port Moody--Coquitlam,40125,1040,5195,8430,10510,7725,4310,2915
59024,Prince George--Peace River--Northern Rockies,42600,2280,7310,8000,10080,7870,4240,2815
59025,Richmond Centre,33890,945,3085,5615,8840,7935,4010,3465
59026,Esquimalt--Saanich--Sooke,47890,1730,6765,8485,10920,9770,5390,4835
59027,Saanich--Gulf Islands,43860,960,2830,5025,8475,10820,7590,8160
59028,Skeena--Bulkley Valley,35780,1175,4415,6370,8820,7700,4475,2830
59029,South Okanagan--West Kootenay,49985,975,4475,6345,9850,11320,8740,8270
59030,South Surrey--White Rock,38455,390,2765,5575,8400,8765,6390,6170
59031,Steveston--Richmond East,34085,765,3875,6450,8915,7515,3570,2995
59032,Surrey Centre,37990,1485,6180,8365,9415,6635,3425,2490
59033,Surrey--Newton,30695,600,4745,7240,7630,5470,3145,1865
59034,Vancouver Centre,62045,4455,18565,12660,9825,8365,4930,3235
59035,Vancouver East,50060,2085,10710,10380,10320,7880,4365,4325
59036,Vancouver Granville,46315,2000,9345,9690,9565,7890,3855,3965
59037,North Island--Powell River,44835,1085,4365,6145,10220,10980,6905,5135
59038,Vancouver Kingsway,35760,1480,5480,7010,8240,6515,3480,3550
59039,Vancouver Quadra,43275,2480,6925,8190,9005,7715,4685,4275
59040,Vancouver South,32620,645,3160,6100,8235,6875,3810,3800
59041,Victoria,56315,3875,10380,7730,9570,10855,6335,7565
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,46355,775,4230,7230,10045,10125,7410,6535
60001,Yukon,14120,470,2080,2645,3790,3065,1425,640
61001,Northwest Territories,14700,785,3035,3160,3790,2420,1015,495
62001,Nunavut,8660,525,2210,2255,1895,1210,405,165
