Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
24004,Quebec,Alfred-Pellan,16,Household characteristics,Under 25 years,645,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,25 to 34 years,4145,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,35 to 44 years,6665,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,45 to 54 years,9600,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,55 to 64 years,7005,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,65 to 74 years,5025,,
24004,Quebec,Alfred-Pellan,16,Household characteristics,75 years and over,3750,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,Total number of private households by age group of primary household maintainers,40690,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,Under 25 years,1215,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,25 to 34 years,4725,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,35 to 44 years,6295,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,45 to 54 years,9575,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,55 to 64 years,8980,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,65 to 74 years,6040,,
24005,Quebec,Argenteuil--La Petite-Nation,27.8,Household characteristics,75 years and over,3860,,
24006,Quebec,Avignon--La Mitis--Matane--Matapedia,32.9,Household characteristics,Total number of private households by age group of primary household maintainers,33195,,
